year_month,android,angular,arrays,azure,c,c#,c++,css,dart,dataframe,django,docker,excel,flutter,html,java,javascript,kotlin,node.js,pandas,php,python,python-3.x,r,react-native,reactjs,spring-boot,sql,swift,typescript
2022-04,3.672316384180791,1.6692347200821775,2.054442732408834,0.667693888032871,1.5151515151515151,4.930662557781202,3.133025166923472,3.00462249614792,1.5408320493066257,1.5408320493066257,1.6435541859270673,1.2840267077555212,1.20698510529019,2.9275808936825887,4.083204930662557,5.778120184899846,11.761684643040574,1.1813045711350796,3.1587057010785826,2.953261427837699,2.516692347200822,17.154596815613765,2.285567539804828,3.8263995891114537,0.9244992295839755,5.675398048279404,1.4124293785310735,3.0816640986132513,1.155624036979969,2.2598870056497176
2022-05,2.817218841559612,1.9157088122605364,1.8255578093306288,0.9240477800315527,1.5776425512733827,4.349785891368041,3.110209601081812,3.0425963488843815,1.2621140410187062,2.208699571782736,1.7128690556682442,1.4424160468785217,1.3748027946810908,2.659454586432274,4.169483885508226,5.296371422132071,11.922470137480278,1.1268875366238449,3.6736533693937345,3.8088798737885963,2.4566148298399817,16.903313049357674,2.0734730673878747,3.2454361054766734,1.1719630380887989,6.535947712418301,0.9691232814965067,2.7270678386297047,1.4649537976109983,2.231237322515213
2022-06,3.065868263473054,1.7964071856287425,2.3473053892215567,1.2934131736526946,1.1497005988023952,4.74251497005988,3.065868263473054,3.0419161676646707,1.4850299401197606,1.7245508982035929,1.5808383233532934,1.4610778443113772,1.3652694610778444,2.802395209580838,4.359281437125748,4.6946107784431135,11.425149700598801,1.3173652694610778,3.25748502994012,2.874251497005988,3.161676646706587,15.83233532934132,2.155688622754491,3.3532934131736525,1.8203592814371259,6.658682634730539,1.5568862275449102,2.7784431137724552,1.3652694610778444,2.467065868263473
2022-07,2.886002886002886,1.8518518518518516,1.9721019721019721,1.0582010582010581,1.5632515632515633,5.002405002405003,2.1885521885521886,3.222703222703223,1.7556517556517555,1.8278018278018278,1.6113516113516115,1.3227513227513228,1.5392015392015392,3.0543530543530544,4.545454545454546,4.737854737854738,12.578162578162576,1.3468013468013467,3.4151034151034154,2.958152958152958,3.0543530543530544,15.824915824915825,2.284752284752285,3.3429533429533427,1.2746512746512748,6.421356421356421,1.2746512746512748,2.5733525733525733,1.2506012506012507,2.260702260702261
2022-08,3.3542976939203357,1.630561378989052,1.863498718844631,0.9317493594223155,1.2345679012345678,4.84509666899604,2.655485674353599,3.377591427905893,1.7237363149312834,2.166317260656883,1.257861635220126,1.187980433263452,1.5606801770323782,3.051479152108083,4.612159329140461,4.286047053342651,11.972979268576752,1.187980433263452,2.818541812252504,3.610528767761472,3.004891684136967,16.21243885394829,2.3060796645702304,3.6338225017470296,1.3044491031912415,6.102958304216166,1.4907989750757047,2.375960866526904,1.397624039133473,2.841835546238062
2022-09,3.3716675378985888,1.7250392054364874,1.6466283324621016,1.280710925248301,1.2023000522739153,4.9660219550444324,2.6398327234709877,3.136434918975431,1.5420805018295871,1.8818609513852589,1.6466283324621016,1.3068478829064296,1.411395713538944,2.7966544694197593,3.8159958180867743,5.122843700993204,11.813904861474125,1.3852587558808156,2.6398327234709877,3.3193936225823313,2.6136957658128592,16.832200731834813,2.22164140094093,3.34553058024046,1.2284370099320439,6.1944589649764765,1.4898065865133299,2.9012023000522738,1.3852587558808156,3.136434918975431
2022-10,3.306639111340739,1.730818909842418,1.7566520278997675,1.1108240764660295,1.8083182640144666,4.959958667011109,2.3508137432188065,3.539137173856884,1.5499870834409715,1.730818909842418,1.937483854301214,1.1108240764660295,1.4983208473262721,2.7124773960216997,4.365796951692069,5.528287264272798,10.643244639628003,1.2658227848101267,2.6866442779643505,3.099974166881943,2.867476104365797,17.230689744252132,2.2474812709894083,4.0557995350038745,1.0591578403513304,5.5799535003874965,1.3433221389821752,2.764143632136399,1.5241539653836218,2.634978041849651
2022-11,2.865540044085231,1.5429831006612784,1.934851824638746,1.224589762429586,1.9838354151359296,4.824883663972569,2.449179524859172,2.8900318393338233,1.861376438892971,2.2042615723732553,1.2980651481753611,1.1756061719324025,1.0776389909380357,3.2329169728141074,3.9676708302718593,5.069801616458487,10.139603232916974,1.151114376683811,3.159441587068332,3.7717364682831254,2.522654910604947,18.001469507714916,2.4246877296105804,3.722752877785942,1.4450159196669117,5.633112907176096,1.5429831006612784,3.3798677443056575,1.151114376683811,2.351212343864805
2022-12,2.970579834333048,1.6566695229934303,1.570979720079977,1.113967437874893,1.6852327906312483,4.912882033704656,2.94201656669523,2.8848900314195944,1.5995429877177951,1.970865467009426,1.5138531848043417,1.5138531848043417,1.1996572407883461,3.3704655812624966,4.08454727220794,5.36989431590974,10.59697229363039,1.2567837760639817,3.2562125107112254,3.284775778349043,2.1708083404741503,17.28077692087975,2.199371608111968,2.8563267637817766,1.828049128820337,6.312482147957726,1.7994858611825193,2.542130819765781,1.371036846615253,2.8848900314195944
2023-01,3.1240960370263235,1.7356089094590683,1.9091698004049755,1.388487127567255,1.388487127567255,6.248192074052647,2.632340179346254,3.2687301128145796,1.7066820943014174,1.9380966155626265,1.4752675730402083,1.5620480185131618,1.7356089094590683,3.210876482499277,4.194388197859416,4.657217240381835,10.963262944749783,1.1570726063060457,3.5869250795487417,3.1819496673416254,2.227364767139138,15.389065663870408,2.5455597338733007,3.1240960370263235,1.214926236621348,5.872143477003182,1.4463407578825571,3.1240960370263235,0.8967312698871854,3.095169221868672
